index	u_check
0	1.6722992613612306
1	-1.1520953475076385
2	-1.235182582705748
3	-0.28850350316775386
4	0.3692015728992648
5	0.4305984865780451
6	0.1886436089056594
7	-0.024803169499072047
8	-0.08902455795003911
9	-0.052383641576975316
10	-0.0007812574431825536
11	0.02155048973358415
12	0.016620045538680323
13	0.0037058434807925025
14	-0.003907035561686079
15	-0.004320374934108468
16	-0.0015605541855284693
17	0.0006237459494981413
18	0.0011022074214585176
19	0.0005625648332771813
20	-3.136392840477381e-05
21	-0.000250460417994735
22	-0.00017099262808745216
23	-2.3761285331546942e-05
24	5.217393911646618e-05
25	4.815984059619943e-05
26	1.4301033358402047e-05
27	-9.017917794329304e-06
28	-1.2437705134020797e-05
29	-5.485089228027566e-06
30	1.0199673464235702e-06
31	2.9818590679718713e-06
32	1.7817385636834409e-06
33	1.0044169668012826e-07
34	-6.498690774505644e-07
35	-5.191190164200915e-07
36	-1.1800736165218381e-07
37	1.241242835177283e-07
38	1.393579088287529e-07
39	5.216383114678571e-08
40	-1.822483953679783e-08
41	-3.461332856034242e-08
42	-1.8074770105206747e-08
43	7.604670772835788e-10
44	7.90565796470264e-09
45	5.511369629640195e-09
46	8.448446168152658e-10
47	-1.6177261478688432e-09
48	-1.5342898417608417e-09
49	-4.72114028857187e-10
50	2.759533926963325e-10
51	3.950255455557855e-10
52	1.786785491601207e-10
53	-2.898858627763939e-11
54	-9.395415897525417e-11
55	-5.738883809471694e-11
56	-4.0679631197681e-12
57	2.03274485108428e-11
58	1.661845341491564e-11
59	3.973796758942251e-12
60	-3.828014934287634e-12
61	-4.433119235082091e-12
62	-1.7080290764320871e-12
63	5.441108510348367e-13
64	1.0947050731094816e-12
65	5.848101188022779e-13
66	-1.4334687616800468e-14
67	-2.482139869870961e-13
68	-1.769116026844741e-13
69	-2.9372109380257296e-14
70	5.027108462437639e-14
71	4.894650911684048e-14
72	1.5605169018610877e-14
73	-8.402702707124534e-15
74	-1.2527915837641187e-14
75	-5.808380194033104e-15
76	8.150398247752156e-16
77	2.9605048688544976e-15
78	1.8483238593378713e-15
79	1.5763232917925603e-16
80	-6.350895329020888e-16
81	-5.31618170128499e-16
82	-1.3328773819226107e-16
83	1.1791663745125896e-16
84	1.4097794248153528e-16
85	5.586899311923797e-17
86	-1.6160778147963182e-17
87	-3.460227730693453e-17
88	-1.8906901684521866e-17
89	1.4259527446503331e-19
90	7.788549643246492e-18
91	5.676043776684668e-18
92	1.0135629411501727e-18
93	-1.5604924307210167e-18
94	-1.5607486224712577e-18
95	-5.148676834260462e-19
96	2.552224041729278e-19
97	3.9713370636815603e-19
98	1.8865328245171648e-19
99	-2.2502974947259658e-20
